Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2019/2020,2019,National University of Singapore,Faculty of Law,Law,AAA/A,85,3.94
2018/2019,2018,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2017/2018,2017,National University of Singapore,Faculty of Law,Law,AAA/A,85,3.91
2016/2017,2016,National University of Singapore,Faculty of Law,Law,AAA/A,85,3.92
2015/2016,2015,National University of Singapore,Faculty of Law,Law,AAA/A,85,3.92
2014/2015,2014,National University of Singapore,Faculty of Law,Law,AAA/A,85,3.87
2013/2014,2013,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2012/2013,2012,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2011/2012,2011,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2010/2011,2010,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2009/2010,2009,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2008/2009,2008,National University of Singapore,Faculty of Law,Law,AAA/A,85,No Data
2019/2020,2019,National University of Singapore,School of Medicine,Medicine,AAA/A,85,3.94
2018/2019,2018,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2017/2018,2017,National University of Singapore,School of Medicine,Medicine,AAA/A,85,3.91
2016/2017,2016,National University of Singapore,School of Medicine,Medicine,AAA/A,85,3.92
2015/2016,2015,National University of Singapore,School of Medicine,Medicine,AAA/A,85,3.92
2014/2015,2014,National University of Singapore,School of Medicine,Medicine,AAA/A,85,3.87
2013/2014,2013,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2012/2013,2012,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2011/2012,2011,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2010/2011,2010,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2009/2010,2009,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2008/2009,2008,National University of Singapore,School of Medicine,Medicine,AAA/A,85,No Data
2019/2020,2019,National University of Singapore,School of Medicine,Nursing,CCD/B,66.25,3.33
2018/2019,2018,National University of Singapore,School of Medicine,Nursing,CCC/C,67.5,3.37
2017/2018,2017,National University of Singapore,School of Medicine,Nursing,CCC/B,68.75,3.48
2016/2017,2016,National University of Singapore,School of Medicine,Nursing,BCC/C,70,3.39
2015/2016,2015,National University of Singapore,School of Medicine,Nursing,CCC/B,68.75,3.45
2014/2015,2014,National University of Singapore,School of Medicine,Nursing,CCC/B,68.75,3.42
2013/2014,2013,National University of Singapore,School of Medicine,Nursing,CCC/B,68.75,3.56
2012/2013,2012,National University of Singapore,School of Medicine,Nursing,BCC/C,70,3.43
2011/2012,2011,National University of Singapore,School of Medicine,Nursing,BCC/B,71.25,3.58
2010/2011,2010,National University of Singapore,School of Medicine,Nursing,BCC/B,71.25,3.46
