year,sex,nus,ntu,smu
1983,Male,2905,0,NA
1983,Female,1508,0,NA
1984,Male,3409,0,NA
1984,Female,1826,0,NA
1985,Male,3454,557,NA
1985,Female,2117,56,NA
1986,Male,3860,661,NA
1986,Female,2476,64,NA
1987,Male,3974,664,NA
1987,Female,2390,104,NA
1988,Male,3624,1122,NA
1988,Female,1993,386,NA
1989,Male,3986,1316,NA
1989,Female,2150,522,NA
1990,Male,4001,1333,NA
1990,Female,2307,510,NA
1991,Male,4440,1547,NA
1991,Female,2584,626,NA
1992,Male,4615,2016,NA
1992,Female,2689,768,NA
1993,Male,4665,2583,NA
1993,Female,2655,1028,NA
1994,Male,4802,2713,NA
1994,Female,2621,1005,NA
1995,Male,4920,3007,NA
1995,Female,2803,1120,NA
1996,Male,5145,3073,NA
1996,Female,2944,1252,NA
1997,Male,5493,3186,NA
1997,Female,3021,1382,NA
1998,Male,5908,3423,NA
1998,Female,3376,1500,NA
1999,Male,5762,3593,NA
1999,Female,3337,1533,NA
2000,Male,5631,3613,NA
2000,Female,3270,1583,NA
2001,Male,5958,3628,NA
2001,Female,3454,1640,NA
2002,Male,6277,3646,NA
2002,Female,3613,1701,NA
2003,Male,5960,4042,8
2003,Female,3238,1808,4
2004,Male,5858,4067,240
2004,Female,3161,1843,167
2005,Male,5575,4048,408
2005,Female,3051,1964,315
2006,Male,5621,4241,565
2006,Female,3055,1974,399
2007,Male,5500,4845,826
2007,Female,2943,2127,500
2008,Male,5601,4808,1063
2008,Female,2982,2286,686
2009,Male,5779,5058,1110
2009,Female,3012,2570,562
2010,Male,5833,5412,1206
2010,Female,3124,2544,546
2011,Male,6088,5733,1504
2011,Female,3403,2951,831
2012,Male,5969,5807,1603
2012,Female,3149,2909,919
2013,Male,6395,6476,1659
2013,Female,3281,3310,834
2014,Male,6210,5993,1602
2014,Female,3224,2951,772
2015,Male,6179,5756,1639
2015,Female,3192,2777,840
2016,Male,6305,5856,1804
2016,Female,3332,3066,1030
2017,Male,6446,6174,1779
2017,Female,3350,3266,920
2018,Male,6700,5990,1887
2018,Female,3606,2953,903
